Year	Link	EID
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086466411&doi=10.1016%2fj.scitotenv.2020.140005&partnerID=40&md5=61e3b63b85bebe8c3a378c16c4e09ec0	2-s2.0-85086466411
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086436905&doi=10.1016%2fj.scitotenv.2020.140113&partnerID=40&md5=b2785ed5e2f4ca4cf6ada3c6e2bed14f	2-s2.0-85086436905
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084636250&doi=10.1016%2fj.scitotenv.2020.139076&partnerID=40&md5=f0d4bab0631b5dc76ef0b494559a09b8	2-s2.0-85084636250
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086382178&doi=10.1016%2fj.scitotenv.2020.139960&partnerID=40&md5=1528e1b3a24532d01e29c449935e9b68	2-s2.0-85086382178
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086405056&doi=10.1016%2fj.ijbiomac.2020.06.007&partnerID=40&md5=05f9728fca164485dcbb3a40f8d802cf	2-s2.0-85086405056
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085601488&doi=10.33263%2fBRIAC105.60396057&partnerID=40&md5=2845d1c2d745903dbf6b631b456504eb	2-s2.0-85085601488
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085841612&doi=10.1016%2fj.scitotenv.2020.139825&partnerID=40&md5=b9d7d9a8e1bc465a8b8debe83f75d721	2-s2.0-85085841612
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085940318&doi=10.1016%2fj.mehy.2020.109893&partnerID=40&md5=7f4840f102ffd476b064af11c81c4681	2-s2.0-85085940318
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086372869&doi=10.1016%2fj.cca.2020.05.047&partnerID=40&md5=b7e8f1fed7c83c5cd1a4fe39a5b7edfd	2-s2.0-85086372869
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085918712&doi=10.1016%2fj.meegid.2020.104390&partnerID=40&md5=671bd8d33a7dea10eef22e95dc0c8eba	2-s2.0-85085918712
